ds,Consommation (MW)
2021-03-01,58754.229166666664
2021-03-02,59028.645833333336
2021-03-03,58322.770833333336
2021-03-04,58353.333333333336
2021-03-05,60596.4375
2021-03-06,57728.6875
2021-03-07,56290.5625
2021-03-08,62564.083333333336
2021-03-09,63604.645833333336
2021-03-10,63743.395833333336
2021-03-11,59962.458333333336
2021-03-12,59720.1875
2021-03-13,55541.4375
2021-03-14,54500.1875
2021-03-15,61019.854166666664
2021-03-16,61749.229166666664
2021-03-17,61875.3125
2021-03-18,63976.75
2021-03-19,63825.9375
2021-03-20,59175.229166666664
2021-03-21,57065.583333333336
2021-03-22,62148.125
2021-03-23,60304.583333333336
2021-03-24,57841.666666666664
2021-03-25,56204.791666666664
2021-03-26,55805.708333333336
2021-03-27,51060.0625
2021-03-28,48194.13043478261
2021-03-29,51388.083333333336
2021-03-30,49357.479166666664
2021-03-31,47950.270833333336
2021-04-01,47832.229166666664
2021-04-02,47351.0
2021-04-03,46311.375
2021-04-04,45962.520833333336
2021-04-05,48573.666666666664
2021-04-06,58475.020833333336
2021-04-07,61547.895833333336
2021-04-08,59230.541666666664
2021-04-09,55885.916666666664
2021-04-10,50001.791666666664
2021-04-11,50078.270833333336
2021-04-12,58434.625
2021-04-13,58711.833333333336
2021-04-14,58225.208333333336
2021-04-15,58544.8125
2021-04-16,58658.875
2021-04-17,52824.270833333336
2021-04-18,49707.645833333336
2021-04-19,53811.604166666664
2021-04-20,52614.208333333336
2021-04-21,51359.020833333336
2021-04-22,50192.333333333336
2021-04-23,48597.0625
2021-04-24,43048.4375
2021-04-25,41220.395833333336
2021-04-26,47968.6875
2021-04-27,48943.416666666664
2021-04-28,49369.916666666664
2021-04-29,50532.625
2021-04-30,50738.416666666664
2021-05-01,45169.833333333336
2021-05-02,45309.354166666664
2021-05-03,51010.041666666664
2021-05-04,51602.3125
2021-05-05,51539.291666666664
2021-05-06,53110.458333333336
2021-05-07,50806.895833333336
2021-05-08,42689.3125
2021-05-09,39423.770833333336
2021-05-10,45653.5625
2021-05-11,47741.145833333336
2021-05-12,48509.520833333336
2021-05-13,43717.145833333336
2021-05-14,45621.375
2021-05-15,44075.375
2021-05-16,42567.166666666664
2021-05-17,48594.791666666664
2021-05-18,49648.354166666664
2021-05-19,49849.9375
2021-05-20,49420.916666666664
2021-05-21,48332.979166666664
2021-05-22,43859.770833333336
2021-05-23,41324.333333333336
2021-05-24,43597.666666666664
2021-05-25,49264.9375
2021-05-26,49602.6875
2021-05-27,48138.8125
2021-05-28,46030.395833333336
2021-05-29,40389.5
2021-05-30,37939.770833333336
2021-05-31,43852.208333333336
2021-06-01,44973.041666666664
2021-06-02,45256.354166666664
2021-06-03,45520.1875
2021-06-04,44927.229166666664
2021-06-05,39851.6875
2021-06-06,37901.5625
2021-06-07,44228.145833333336
2021-06-08,45389.583333333336
2021-06-09,45795.916666666664
2021-06-10,46080.958333333336
2021-06-11,45788.833333333336
2021-06-12,40936.916666666664
2021-06-13,38675.166666666664
2021-06-14,45799.666666666664
2021-06-15,47352.416666666664
2021-06-16,47946.8125
2021-06-17,47192.0625
2021-06-18,46039.9375
2021-06-19,41231.3125
2021-06-20,38444.3125
2021-06-21,44648.083333333336
2021-06-22,45516.041666666664
2021-06-23,45665.333333333336
2021-06-24,45452.395833333336
2021-06-25,44847.729166666664
2021-06-26,40317.270833333336
2021-06-27,38415.958333333336
2021-06-28,44568.8125
2021-06-29,45594.375
2021-06-30,45629.395833333336
2021-07-01,46018.854166666664
2021-07-02,45959.916666666664
2021-07-03,40925.75
2021-07-04,38509.416666666664
2021-07-05,45019.25
2021-07-06,45806.270833333336
2021-07-07,45986.895833333336
2021-07-08,45972.729166666664
2021-07-09,45568.395833333336
2021-07-10,40853.958333333336
2021-07-11,38656.8125
2021-07-12,44852.8125
2021-07-13,45320.041666666664
2021-07-14,40284.5
2021-07-15,44809.458333333336
2021-07-16,44845.833333333336
2021-07-17,40594.604166666664
2021-07-18,38726.1875
2021-07-19,45714.145833333336
2021-07-20,47128.916666666664
2021-07-21,47481.083333333336
2021-07-22,47673.375
2021-07-23,46914.875
2021-07-24,41237.9375
2021-07-25,38785.0
2021-07-26,44645.354166666664
2021-07-27,45711.520833333336
2021-07-28,45249.0
2021-07-29,45222.270833333336
2021-07-30,44044.583333333336
2021-07-31,39721.645833333336
2021-08-01,36716.833333333336
2021-08-02,40912.145833333336
2021-08-03,41803.354166666664
2021-08-04,41639.479166666664
2021-08-05,41068.1875
2021-08-06,40451.333333333336
2021-08-07,37244.375
2021-08-08,35502.375
2021-08-09,39637.75
2021-08-10,40946.4375
2021-08-11,41808.291666666664
2021-08-12,42395.083333333336
2021-08-13,42587.541666666664
2021-08-14,40146.291666666664
2021-08-15,37757.916666666664
2021-08-16,40818.770833333336
2021-08-17,41677.791666666664
2021-08-18,42035.666666666664
2021-08-19,42231.3125
2021-08-20,42444.5625
2021-08-21,39482.833333333336
2021-08-22,37494.5
2021-08-23,42711.145833333336
2021-08-24,43469.1875
2021-08-25,43833.0625
2021-08-26,44505.770833333336
2021-08-27,43960.5
2021-08-28,39677.166666666664
2021-08-29,37978.020833333336
2021-08-30,44257.916666666664
2021-08-31,45638.5625
2021-09-01,46422.833333333336
2021-09-02,46433.895833333336
2021-09-03,45946.1875
2021-09-04,41106.208333333336
2021-09-05,39339.854166666664
2021-09-06,46007.770833333336
2021-09-07,47206.0625
2021-09-08,47180.979166666664
2021-09-09,46892.916666666664
2021-09-10,45994.416666666664
2021-09-11,40723.166666666664
2021-09-12,38726.895833333336
2021-09-13,45210.0
2021-09-14,46685.75
2021-09-15,46798.166666666664
2021-09-16,46331.895833333336
2021-09-17,45484.479166666664
2021-09-18,40720.791666666664
2021-09-19,38638.729166666664
2021-09-20,44867.25
2021-09-21,45931.979166666664
2021-09-22,46088.020833333336
2021-09-23,46220.958333333336
2021-09-24,45682.3125
2021-09-25,41155.125
2021-09-26,38602.229166666664
2021-09-27,45201.020833333336
2021-09-28,46700.583333333336
2021-09-29,46909.916666666664
2021-09-30,47482.875
2021-10-01,47705.854166666664
2021-10-02,42954.979166666664
2021-10-03,40964.708333333336
2021-10-04,47268.604166666664
2021-10-05,48914.958333333336
2021-10-06,49847.875
2021-10-07,49108.979166666664
2021-10-08,49127.041666666664
2021-10-09,44081.5
2021-10-10,42711.104166666664
2021-10-11,49541.875
2021-10-12,51577.583333333336
2021-10-13,51877.9375
2021-10-14,53024.020833333336
2021-10-15,52381.895833333336
2021-10-16,47414.125
2021-10-17,45798.833333333336
2021-10-18,52225.604166666664
2021-10-19,50324.0
2021-10-20,49926.0625
2021-10-21,50623.375
2021-10-22,52438.333333333336
2021-10-23,48250.291666666664
2021-10-24,47291.416666666664
2021-10-25,53073.833333333336
2021-10-26,53397.0625
2021-10-27,53587.895833333336
2021-10-28,53578.229166666664
2021-10-29,52369.6875
2021-10-30,47370.958333333336
2021-10-31,44514.625
2021-11-01,46753.083333333336
2021-11-02,54789.395833333336
2021-11-03,57528.6875
2021-11-04,60109.333333333336
2021-11-05,60260.145833333336
2021-11-06,56824.645833333336
2021-11-07,53738.25
2021-11-08,59847.229166666664
2021-11-09,62167.6875
2021-11-10,63587.041666666664
2021-11-11,57043.75
2021-11-12,59311.25
2021-11-13,53766.895833333336
2021-11-14,51292.916666666664
2021-11-15,60466.020833333336
2021-11-16,62513.5625
2021-11-17,62405.4375
2021-11-18,62738.4375
2021-11-19,62398.25
2021-11-20,58163.875
2021-11-21,57176.958333333336
2021-11-22,65535.4375
2021-11-23,67911.83333333333
2021-11-24,68533.1875
2021-11-25,69202.72916666667
2021-11-26,69477.22916666667
2021-11-27,65230.9375
2021-11-28,65162.520833333336
2021-11-29,73443.3125
2021-11-30,74557.1875
2021-12-01,70035.70833333333
2021-12-02,71638.14583333333
2021-12-03,73528.66666666667
2021-12-04,63009.166666666664
2021-12-05,63515.395833333336
2021-12-06,70508.45833333333
2021-12-07,71428.79166666667
2021-12-08,71555.14583333333
2021-12-09,73310.9375
2021-12-10,72124.14583333333
2021-12-11,66446.52083333333
2021-12-12,61999.270833333336
2021-12-13,67742.79166666667
2021-12-14,70153.64583333333
2021-12-15,70191.02083333333
2021-12-16,69848.77083333333
2021-12-17,69615.52083333333
2021-12-18,65147.270833333336
2021-12-19,64613.729166666664
2021-12-20,72397.4375
2021-12-21,75135.5625
2021-12-22,77176.85416666667
2021-12-23,71287.20833333333
2021-12-24,61405.395833333336
2021-12-25,53700.354166666664
2021-12-26,53840.479166666664
2021-12-27,57917.583333333336
2021-12-28,57600.958333333336
2021-12-29,55462.354166666664
2021-12-30,52779.1875
2021-12-31,53340.208333333336
2022-01-01,50428.875
2022-01-02,52241.958333333336
2022-01-03,59440.666666666664
2022-01-04,62172.333333333336
2022-01-05,68310.625
2022-01-06,72582.83333333333
2022-01-07,72323.16666666667
2022-01-08,65012.6875
2022-01-09,62386.416666666664
2022-01-10,69661.5
2022-01-11,72626.16666666667
2022-01-12,75137.58333333333
2022-01-13,76418.20833333333
2022-01-14,77333.27083333333
2022-01-15,72926.47916666667
2022-01-16,70769.58333333333
2022-01-17,74724.75
2022-01-18,75092.5625
2022-01-19,74998.0625
2022-01-20,73762.52083333333
2022-01-21,75227.97916666667
2022-01-22,70442.91666666667
2022-01-23,67447.8125
2022-01-24,74805.52083333333
2022-01-25,77812.29166666667
2022-01-26,78430.0
2022-01-27,77486.35416666667
2022-01-28,74348.79166666667
2022-01-29,67034.04166666667
2022-01-30,62109.458333333336
2022-01-31,69758.875
2022-02-01,71707.8125
2022-02-02,67140.22916666667
2022-02-03,67477.27083333333
2022-02-04,66367.20833333333
2022-02-05,61984.166666666664
2022-02-06,61376.6875
2022-02-07,64713.0
2022-02-08,66443.3125
2022-02-09,66095.10416666667
2022-02-10,65712.95833333333
2022-02-11,66581.25
2022-02-12,64278.979166666664
2022-02-13,60693.166666666664
2022-02-14,64476.854166666664
2022-02-15,66843.0
2022-02-16,65060.375
2022-02-17,60733.25
2022-02-18,59896.6875
2022-02-19,58372.666666666664
2022-02-20,56097.291666666664
2022-02-21,63264.666666666664
2022-02-22,63660.354166666664
2022-02-23,62134.020833333336
2022-02-24,63039.979166666664
2022-02-25,64560.979166666664
2022-02-26,60621.041666666664
2022-02-27,59134.0625
2022-02-28,63930.6875
