Date,Consommation (MW)
2021-03-01,10.981118415231153
2021-03-02,10.985778127658767
2021-03-03,10.97374787641356
2021-03-04,10.974271762618319
2021-03-05,11.011991383200662
2021-03-06,10.96350951265016
2021-03-07,10.938282171302086
2021-03-08,11.043946643762641
2021-03-09,11.060441794354281
2021-03-10,11.062620862883122
2021-03-11,11.001473950931334
2021-03-12,10.997425391299906
2021-03-13,10.92488464277288
2021-03-14,10.90595942101239
2021-03-15,11.018954568341005
2021-03-16,11.030836771281404
2021-03-17,11.032876550363287
2021-03-18,11.06627501508919
2021-03-19,11.063914930603453
2021-03-20,10.988258307068673
2021-03-21,10.951956470196617
2021-03-22,11.037275927537667
2021-03-23,11.007163388671417
2021-03-24,10.965464671539674
2021-03-25,10.936757293219989
2021-03-26,10.929631443017652
2021-03-27,10.840757914844863
2021-03-28,10.78299251741151
2021-03-29,10.847161582799858
2021-03-30,10.806844586907765
2021-03-31,10.777919728540333
2021-04-01,10.775454941623579
2021-04-02,10.765343217715396
2021-04-03,10.743142890245423
2021-04-04,10.735581578877488
2021-04-05,10.790836824906824
2021-04-06,10.976354947729927
2021-04-07,11.027570944729833
2021-04-08,10.989192594369607
2021-04-09,10.93106768941699
2021-04-10,10.819814117101618
2021-04-11,10.82134247708948
2021-04-12,10.975663886959826
2021-04-13,10.980396575505331
2021-04-14,10.972073672819706
2021-04-15,10.97754776561308
2021-04-16,10.979494164031818
2021-04-17,10.87472603894996
2021-04-18,10.813914039957503
2021-04-19,10.893244413722188
2021-04-20,10.87074148265543
2021-04-21,10.84659587341056
2021-04-22,10.823617571573001
2021-04-23,10.791318365675039
2021-04-24,10.67008121419139
2021-04-25,10.626688457341897
2021-04-26,10.778303733271263
2021-04-27,10.798420147936746
2021-04-28,10.80709654331684
2021-04-29,10.830374446273662
2021-04-30,10.834438627831284
2021-05-01,10.71818473887725
2021-05-02,10.721268783899628
2021-05-03,10.83977778774994
2021-05-04,10.851321766356925
2021-05-05,10.85009974074107
2021-05-06,10.880129143266862
2021-05-07,10.835787369104745
2021-05-08,10.661703875148213
2021-05-09,10.582124234004272
2021-05-10,10.728836922408645
2021-05-11,10.773548901140888
2021-05-12,10.789515363502028
2021-05-13,10.685495657298828
2021-05-14,10.728131635673517
2021-05-15,10.693656515454494
2021-05-16,10.658838499563878
2021-05-17,10.791271636793216
2021-05-18,10.812720520216269
2021-05-19,10.816772521627914
2021-05-20,10.808129027866466
2021-05-21,10.785869405121549
2021-05-22,10.68875279700003
2021-05-23,10.629206790274363
2021-05-24,10.682758911085477
2021-05-25,10.804967900106627
2021-05-26,10.81180029471289
2021-05-27,10.78184404339675
2021-05-28,10.73705723623843
2021-05-29,10.606325129179027
2021-05-30,10.54375520323179
2021-05-31,10.68858035761169
2021-06-01,10.71381851516181
2021-06-02,10.720098362842348
2021-06-03,10.725911187860271
2021-06-04,10.71279933015734
2021-06-05,10.592920029620402
2021-06-06,10.54274761713364
2021-06-07,10.697116648964746
2021-06-08,10.723037915706534
2021-06-09,10.73195021037803
2021-06-10,10.738155092317866
2021-06-11,10.73179552669221
2021-06-12,10.619787542912217
2021-06-13,10.562952984848055
2021-06-14,10.732032092055412
2021-06-15,10.765373135678583
2021-06-16,10.777847602606682
2021-06-17,10.761980990059048
2021-06-18,10.737264505319693
2021-06-19,10.626953258810566
2021-06-20,10.556966044616827
2021-06-21,10.70656665891818
2021-06-22,10.725820106905488
2021-06-23,10.729094718635617
2021-06-24,10.724420811821005
2021-06-25,10.711028234469698
2021-06-26,10.604535212788994
2021-06-27,10.556228233842926
2021-06-28,10.704789622103494
2021-06-29,10.727539632630434
2021-06-30,10.72830743327568
2021-07-01,10.736806464684568
2021-07-02,10.735524918790174
2021-07-03,10.619514728277888
2021-07-04,10.558658079113513
2021-07-05,10.714845455059406
2021-07-06,10.732176278488266
2021-07-07,10.736111761698751
2021-07-08,10.735803655466723
2021-07-09,10.72696968138537
2021-07-10,10.617758994818528
2021-07-11,10.562478299802901
2021-07-12,10.711141574550913
2021-07-13,10.721504634529575
2021-07-14,10.60372205856669
2021-07-15,10.710174519631549
2021-07-16,10.710985960904445
2021-07-17,10.61139043445868
2021-07-18,10.564271329760036
2021-07-19,10.730163065820081
2021-07-20,10.760642033586686
2021-07-21,10.768086665087854
2021-07-22,10.772128344937531
2021-07-23,10.756090068327548
2021-07-24,10.627113924756097
2021-07-25,10.565788852924973
2021-07-26,10.706505530872402
2021-07-27,10.730105642120666
2021-07-28,10.719935849436363
2021-07-29,10.71934496202651
2021-07-30,10.692957657477203
2021-07-31,10.589651553185192
2021-08-01,10.510990602816717
2021-08-02,10.61918226208595
2021-08-03,10.640731858515224
2021-08-04,10.636804014645556
2021-08-05,10.622989074006952
2021-08-06,10.607854884448537
2021-08-07,10.525256205693635
2021-08-08,10.477354874634159
2021-08-09,10.587537225985338
2021-08-10,10.620020089159818
2021-08-11,10.640849964072327
2021-08-12,10.654787675376774
2021-08-13,10.659317040346593
2021-08-14,10.600285353133355
2021-08-15,10.53895044571475
2021-08-16,10.6168973240372
2021-08-17,10.637723691978172
2021-08-18,10.646273743243006
2021-08-19,10.650917227246111
2021-08-20,10.655954091662238
2021-08-21,10.583621257267511
2021-08-22,10.531949534535228
2021-08-23,10.66221519169698
2021-08-24,10.679807632756859
2021-08-25,10.688143663205533
2021-08-26,10.703374141394333
2021-08-27,10.691046782429217
2021-08-28,10.588531154279488
2021-08-29,10.544762872248414
2021-08-30,10.697789542155279
2021-08-31,10.728508306985685
2021-09-01,10.74554671487513
2021-09-02,10.745784985168552
2021-09-03,10.735226153721342
2021-09-04,10.623914443415778
2021-09-05,10.579993384937366
2021-09-06,10.736565592363391
2021-09-07,10.762277606122186
2021-09-08,10.76174610659681
2021-09-09,10.755621912466628
2021-09-10,10.736275291292877
2021-09-11,10.61455241506385
2021-09-12,10.56428962040265
2021-09-13,10.71907358028865
2021-09-14,10.75119425790626
2021-09-15,10.753599307349251
2021-09-16,10.743585897783571
2021-09-17,10.725126429529213
2021-09-18,10.6144940927512
2021-09-19,10.562010398724176
2021-09-20,10.71146340892602
2021-09-21,10.734916867326932
2021-09-22,10.738308343445908
2021-09-23,10.741188617783333
2021-09-24,10.729466466953975
2021-09-25,10.625103742700151
2021-09-26,10.561065304217209
2021-09-27,10.71887495037355
2021-09-28,10.751511934656778
2021-09-29,10.755984374869564
2021-09-30,10.768124398701707
2021-10-01,10.772809398206798
2021-10-02,10.667907850068353
2021-10-03,10.620466202651468
2021-10-04,10.763601594404111
2021-10-05,10.797838525073388
2021-10-06,10.81673114659774
2021-10-07,10.801797172147863
2021-10-08,10.802164908952557
2021-10-09,10.693795472285935
2021-10-10,10.662214216150991
2021-10-11,10.810573550530597
2021-10-12,10.850842425552392
2021-10-13,10.856648882435804
2021-10-14,10.878500313130054
2021-10-15,10.86631631124661
2021-10-16,10.766675459071834
2021-10-17,10.732013896706508
2021-10-18,10.86332815489144
2021-10-19,10.82623737947102
2021-10-20,10.818298439980444
2021-10-21,10.832168705128232
2021-10-22,10.86739315501813
2021-10-23,10.78415715165387
2021-10-24,10.764084092192109
2021-10-25,10.879439304857103
2021-10-26,10.88551101407192
2021-10-27,10.889078497551838
2021-10-28,10.888898092284915
2021-10-29,10.866083220098961
2021-10-30,10.765764626520278
2021-10-31,10.703573065845589
2021-11-01,10.752635486196175
2021-11-02,10.911251947520274
2021-11-03,10.960039015413187
2021-11-04,11.003920405193687
2021-11-05,11.006426232749956
2021-11-06,10.947725416115897
2021-11-07,10.891880317441267
2021-11-08,10.999550413618117
2021-11-09,11.037590650174604
2021-11-10,11.060164981189441
2021-11-11,10.951573796265187
2021-11-12,10.990554280314612
2021-11-13,10.892413237680373
2021-11-14,10.845307944952236
2021-11-15,11.009836847122147
2021-11-16,11.043138812183399
2021-11-17,11.041407689984178
2021-11-18,11.046729577067321
2021-11-19,11.04129250909246
2021-11-20,10.971019736535407
2021-11-21,10.953906269871238
2021-11-22,11.090346305853442
2021-11-23,11.125965574258434
2021-11-24,11.135073395974485
2021-11-25,11.144795579652733
2021-11-26,11.148754339978176
2021-11-27,11.085689136908233
2021-11-28,11.084639748789847
2021-11-29,11.204269129124674
2021-11-30,11.219321727349724
2021-12-01,11.156760510012624
2021-12-02,11.179382974116278
2021-12-03,11.205430631837592
2021-12-04,11.05103549743469
2021-12-05,11.059037609561788
2021-12-06,11.16348795796311
2021-12-07,11.176456311677596
2021-12-08,11.178223701802201
2021-12-09,11.202465092295734
2021-12-10,11.186144160874878
2021-12-11,11.104152705108278
2021-12-12,11.034877903205382
2021-12-13,11.123473337017524
2021-12-14,11.158443056144948
2021-12-15,11.158975673475856
2021-12-16,11.15408776729811
2021-12-17,11.150742821940527
2021-12-18,11.084405691166477
2021-12-19,11.076182192990078
2021-12-20,11.18992618410103
2021-12-21,11.22704926095606
2021-12-22,11.253854874564961
2021-12-23,11.174472184042548
2021-12-24,11.025252990295726
2021-12-25,10.89117487575764
2021-12-26,10.893780864105652
2021-12-27,10.966776301971807
2021-12-28,10.961294484277058
2021-12-29,10.923459766279455
2021-12-30,10.873872215850154
2021-12-31,10.884445703490158
2022-01-01,10.82831920667203
2022-01-02,10.86364125048607
2022-01-03,10.99273389512058
2022-01-04,11.037665378058746
2022-01-05,11.13182059714971
2022-01-06,11.192483717389159
2022-01-07,11.188899780980597
2022-01-08,11.082337722137927
2022-01-09,11.041102849037504
2022-01-10,11.151403076849226
2022-01-11,11.193080558282212
2022-01-12,11.227076156424603
2022-01-13,11.243976275729105
2022-01-14,11.255879553790356
2022-01-15,11.1972070779264
2022-01-16,11.167184573435335
2022-01-17,11.221566641546007
2022-01-18,11.226476798227468
2022-01-19,11.225217558851428
2022-01-20,11.20860603380339
2022-01-21,11.228278504126038
2022-01-22,11.162557968150802
2022-01-23,11.119109429679302
2022-01-24,11.22264696917116
2022-01-25,11.262054688261408
2022-01-26,11.269961786206713
2022-01-27,11.25785712456955
2022-01-28,11.216522699794792
2022-01-29,11.112955853918953
2022-01-30,11.036653564429075
2022-01-31,11.152799931732641
2022-02-01,11.180354981600296
2022-02-02,11.114538683794013
2022-02-03,11.119546091759823
2022-02-04,11.102958363078645
2022-02-05,11.03463425506905
2022-02-06,11.024785359627193
2022-02-07,11.077717387662826
2022-02-08,11.104104419498258
2022-02-09,11.098849956026582
2022-02-10,11.093051419930594
2022-02-11,11.106178285359508
2022-02-12,11.070987938684066
2022-02-13,11.013586395202529
2022-02-14,11.07406158825255
